#ra	dec	l	b	pos_err	rm	rm_err	rm_width	rm_width_err	complex_flag	complex_test	rm_method	ionosphere	Ncomp	stokesI	stokesI_err	spectral_index	spectral_index_err	reffreq_I	polint	polint_err	pol_bias	flux_type	fracpol	fracpol_err	polangle	polangle_err	reffreq_pol	stokesQ	stokesQ_err	stokesU	stokesU_err	derot_polangle	derot_polangle_err	stokesV	stokesV_err	beam_maj	beam_min	beam_pa	reffreq_beam	minfreq	maxfreq	channelwidth	Nchan	noise_chan	telescope	int_time	epoch	interval	leakage	beamdist	catalog	dataref	cat_id	id	type	flagA_name	flagA_value	flagB_name	flagB_value	flagC_name	flagC_value	notes
278.5870833333333	-11.0	20.36	-1.67	nan	-317.0	9.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
278.77583333333337	-11.0	20.84	-1.66	nan	92.0	11.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
278.83166666666665	-11.0	21.08	-1.6	nan	-66.0	12.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
279.49916666666667	-11.0	21.22	-2.26	nan	-83.0	4.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
276.4279166666667	-8.0	22.32	1.73	nan	40.0	13.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
276.4066666666667	-7.0	23.2	2.21	nan	-62.0	13.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
281.625	-8.0	25.04	-2.65	nan	491.0	8.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
282.7258333333333	-5.0	28.27	-2.24	nan	577.0	10.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
281.3066666666667	2.0	34.3	2.44	nan	25.0	7.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
282.8104166666667	2.0	35.57	1.4	nan	175.0	19.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
283.05583333333334	3.0	36.18	1.44	nan	188.0	7.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
284.65749999999997	2.0	36.2	-0.35	nan	132.0	11.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
285.18083333333334	6.0	40.01	1.02	nan	380.0	5.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
289.35625000000005	4.0	40.1	-3.61	nan	107.0	14.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
284.80125	7.0	40.52	1.71	nan	625.0	14.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
289.82208333333335	6.0	41.75	-3.27	nan	53.0	32.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
290.64125	7.0	42.88	-3.59	nan	78.0	20.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
286.9245833333333	9.0	42.89	0.57	nan	703.0	12.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
289.77625	8.0	43.49	-2.3	nan	229.0	6.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
284.38	11.0	43.58	3.74	nan	525.0	4.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
289.1716666666666	9.0	43.84	-1.44	nan	505.0	6.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
284.96875	11.0	44.06	3.33	nan	655.0	7.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
285.8466666666667	11.0	44.51	2.6	nan	831.0	3.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
287.50166666666667	12.0	46.09	1.59	nan	783.0	11.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
292.345	9.0	46.14	-3.76	nan	24.0	6.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
289.39125	11.0	46.31	-0.38	nan	-117.0	8.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
286.2570833333333	13.0	46.35	3.09	nan	575.0	10.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
287.6329166666667	13.0	47.5	2.17	nan	596.0	9.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
291.42	12.0	47.91	-1.78	nan	63.0	12.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
